"","subject","L1.1","item","attachment","context","RT"
"1","Particpant121","English","item01","DP1","DP1",743.7624948
"2","Particpant121","English","item02","DP1","DP2",194.90598702
"3","Particpant121","English","item03","DP2","DP1",471.2017542
"4","Particpant121","English","item04","DP2","DP2",377.0899431
"5","Particpant121","English","item05","DP1","DP1",251.77266042
"6","Particpant121","English","item06","DP1","DP2",283.48339368
"7","Particpant121","English","item07","DP2","DP1",181.38653157
"8","Particpant121","English","item08","DP2","DP2",179.04901146
"9","Particpant121","English","item09","DP1","DP1",283.03066533
"10","Particpant121","English","item10","DP1","DP2",244.50454875
"11","Particpant121","English","item11","DP2","DP1",647.6683344
"12","Particpant121","English","item12","DP2","DP2",234.48847652
"13","Particpant121","English","item13","DP1","DP1",192.85341
"14","Particpant121","English","item14","DP1","DP2",183.62235633
"15","Particpant121","English","item15","DP2","DP1",362.2751367
"16","Particpant121","English","item16","DP2","DP2",224.94540738
"17","Particpant121","English","item17","DP1","DP1",564.125134
"18","Particpant121","English","item18","DP1","DP2",248.63144704
"19","Particpant121","English","item19","DP2","DP1",607.57266
"20","Particpant121","English","item20","DP2","DP2",410.145464
"21","Particpant121","English","item21","DP1","DP1",376.84564948
"22","Particpant121","English","item22","DP1","DP2",184.7574422
"23","Particpant121","English","item23","DP2","DP1",278.6235822
"24","Particpant121","English","item24","DP2","DP2",388.54521624
"25","Particpant122","English","item01","DP1","DP2",225.30296694
"26","Particpant122","English","item02","DP2","DP1",282.11207481
"27","Particpant122","English","item03","DP2","DP2",197.74518441
"28","Particpant122","English","item04","DP1","DP1",309.1373595
"29","Particpant122","English","item05","DP1","DP2",291.66456258
"30","Particpant122","English","item06","DP2","DP1",332.5075779
"31","Particpant122","English","item07","DP2","DP2",186.07967853
"32","Particpant122","English","item08","DP1","DP1",235.68776838
"33","Particpant122","English","item09","DP1","DP2",282.27940602
"34","Particpant122","English","item10","DP2","DP1",331.2952734
"35","Particpant122","English","item11","DP2","DP2",317.59741308
"36","Particpant122","English","item12","DP1","DP1",327.11494992
"37","Particpant122","English","item13","DP1","DP2",278.37487485
"38","Particpant122","English","item14","DP2","DP1",223.2697467
"39","Particpant122","English","item15","DP2","DP2",186.42606996
"40","Particpant122","English","item16","DP1","DP1",225.16495959
"41","Particpant122","English","item17","DP1","DP2",390.81000492
"42","Particpant122","English","item18","DP2","DP1",300.95603696
"43","Particpant122","English","item19","DP2","DP2",228.87363444
"44","Particpant122","English","item20","DP1","DP1",384.35997352
"45","Particpant122","English","item21","DP1","DP2",512.5753944
"46","Particpant122","English","item22","DP2","DP1",374.897728
"47","Particpant122","English","item23","DP2","DP2",211.45890636
"48","Particpant122","English","item24","DP1","DP1",310.97062904
"49","Particpant123","English","item01","DP2","DP2",341.5727496
"50","Particpant123","English","item02","DP1","DP1",232.5667968
"51","Particpant123","English","item03","DP1","DP2",240.369624
"52","Particpant123","English","item04","DP2","DP1",277.92668064
"53","Particpant123","English","item05","DP2","DP2",206.54754348
"54","Particpant123","English","item06","DP1","DP1",243.97710465
"55","Particpant123","English","item07","DP1","DP2",332.4124209
"56","Particpant123","English","item08","DP2","DP1",226.28568789
"57","Particpant123","English","item09","DP2","DP2",146.26400706
"58","Particpant123","English","item10","DP1","DP1",266.04647127
"59","Particpant123","English","item11","DP1","DP2",369.6761624
"60","Particpant123","English","item12","DP2","DP1",669.9385224
"61","Particpant123","English","item13","DP2","DP2",246.30408408
"62","Particpant123","English","item14","DP1","DP1",218.11659366
"63","Particpant123","English","item15","DP1","DP2",513.7893555
"64","Particpant123","English","item16","DP2","DP1",205.03266939
"65","Particpant123","English","item17","DP2","DP2",286.28917172
"66","Particpant123","English","item18","DP1","DP1",261.39520064
"67","Particpant123","English","item19","DP1","DP2",370.65464872
"68","Particpant123","English","item20","DP2","DP1",308.70152848
"69","Particpant123","English","item21","DP2","DP2",433.9706172
"70","Particpant123","English","item22","DP1","DP1",287.7065434
"71","Particpant123","English","item23","DP1","DP2",420.7863084
"72","Particpant123","English","item24","DP2","DP1",266.4833806
"73","Particpant124","English","item01","DP2","DP1",170.85370647
"74","Particpant124","English","item02","DP2","DP2",262.59512622
"75","Particpant124","English","item03","DP1","DP1",400.1928351
"76","Particpant124","English","item04","DP1","DP2",277.79639046
"77","Particpant124","English","item05","DP2","DP1",371.0973357
"78","Particpant124","English","item06","DP2","DP2",360.9211962
"79","Particpant124","English","item07","DP1","DP1",273.35124156
"80","Particpant124","English","item08","DP1","DP2",208.74473565
"81","Particpant124","English","item09","DP2","DP1",301.7709771
"82","Particpant124","English","item10","DP2","DP2",232.27005822
"83","Particpant124","English","item11","DP1","DP1",383.91781944
"84","Particpant124","English","item12","DP1","DP2",346.71833772
"85","Particpant124","English","item13","DP2","DP1",382.1093214
"86","Particpant124","English","item14","DP2","DP2",292.0499001
"87","Particpant124","English","item15","DP1","DP1",313.4622711
"88","Particpant124","English","item16","DP1","DP2",202.60299069
"89","Particpant124","English","item17","DP2","DP1",627.8180324
"90","Particpant124","English","item18","DP2","DP2",393.12547228
"91","Particpant124","English","item19","DP1","DP1",343.2198024
"92","Particpant124","English","item20","DP1","DP2",344.72676984
"93","Particpant124","English","item21","DP2","DP1",506.0277744
"94","Particpant124","English","item22","DP2","DP2",403.7232404
"95","Particpant124","English","item23","DP1","DP1",417.8762328
"96","Particpant124","English","item24","DP1","DP2",332.87273008
"97","Particpant129","English","item01","DP2","DP2",189.01291119
"98","Particpant129","English","item02","DP1","DP1",243.35678862
"99","Particpant129","English","item03","DP1","DP2",245.32162968
"100","Particpant129","English","item04","DP2","DP1",294.75507399
"101","Particpant129","English","item05","DP2","DP2",289.40785149
"102","Particpant129","English","item06","DP1","DP1",240.12499233
"103","Particpant129","English","item07","DP1","DP2",275.66839356
"104","Particpant129","English","item08","DP2","DP1",483.3786915
"105","Particpant129","English","item09","DP2","DP2",258.71222415
"106","Particpant129","English","item10","DP1","DP1",199.87388859
"107","Particpant129","English","item11","DP1","DP2",529.5842048
"108","Particpant129","English","item12","DP2","DP1",613.098996
"109","Particpant129","English","item13","DP2","DP2",172.51623678
"110","Particpant129","English","item14","DP1","DP1",251.83512444
"111","Particpant129","English","item15","DP1","DP2",291.2557815
"112","Particpant129","English","item16","DP2","DP1",233.61167529
"113","Particpant129","English","item17","DP2","DP2",462.567638
"114","Particpant129","English","item18","DP1","DP1",299.6774084
"115","Particpant129","English","item19","DP1","DP2",406.5868172
"116","Particpant129","English","item20","DP2","DP1",344.30693148
"117","Particpant129","English","item21","DP2","DP2",349.31395596
"118","Particpant129","English","item22","DP1","DP1",527.2613844
"119","Particpant129","English","item23","DP1","DP2",464.5701444
"120","Particpant129","English","item24","DP2","DP1",514.3466408
"121","Particpant130","English","item01","DP1","DP2",369.0112764
"122","Particpant130","English","item02","DP2","DP1",362.481021
"123","Particpant130","English","item03","DP2","DP2",231.85410516
"124","Particpant130","English","item04","DP1","DP1",261.04759659
"125","Particpant130","English","item05","DP1","DP2",384.1271916
"126","Particpant130","English","item06","DP2","DP1",533.2315713
"127","Particpant130","English","item07","DP2","DP2",196.75143636
"128","Particpant130","English","item08","DP1","DP1",527.8935672
"129","Particpant130","English","item09","DP1","DP2",464.0379585
"130","Particpant130","English","item10","DP2","DP1",191.48305647
"131","Particpant130","English","item11","DP2","DP2",467.8258492
"132","Particpant130","English","item12","DP1","DP1",288.35995988
"133","Particpant130","English","item13","DP1","DP2",358.902198
"134","Particpant130","English","item14","DP2","DP1",406.5477024
"135","Particpant130","English","item15","DP2","DP2",225.75478266
"136","Particpant130","English","item16","DP1","DP1",358.9166292
"137","Particpant130","English","item17","DP1","DP2",435.149718
"138","Particpant130","English","item18","DP2","DP1",844.7846904
"139","Particpant130","English","item19","DP2","DP2",511.2853352
"140","Particpant130","English","item20","DP1","DP1",378.72131144
"141","Particpant130","English","item21","DP1","DP2",609.3642548
"142","Particpant130","English","item22","DP2","DP1",512.73613
"143","Particpant130","English","item23","DP2","DP2",575.0391008
"144","Particpant130","English","item24","DP1","DP1",313.6467404
"145","Particpant131","English","item01","DP2","DP1",125.3991612
"146","Particpant131","English","item02","DP2","DP2",204.86067483
"147","Particpant131","English","item03","DP1","DP1",200.33034162
"148","Particpant131","English","item04","DP1","DP2",189.89006268
"149","Particpant131","English","item05","DP2","DP1",181.99358925
"150","Particpant131","English","item06","DP2","DP2",214.86814017
"151","Particpant131","English","item07","DP1","DP1",287.12916921
"152","Particpant131","English","item08","DP1","DP2",209.18142147
"153","Particpant131","English","item09","DP2","DP1",306.1716501
"154","Particpant131","English","item10","DP2","DP2",375.1061046
"155","Particpant131","English","item11","DP1","DP1",341.70865888
"156","Particpant131","English","item12","DP1","DP2",259.36619772
"157","Particpant131","English","item13","DP2","DP1",224.0752416
"158","Particpant131","English","item14","DP2","DP2",251.78775372
"159","Particpant131","English","item15","DP1","DP1",138.27567267
"160","Particpant131","English","item16","DP1","DP2",212.36541756
"161","Particpant131","English","item17","DP2","DP1",474.5235136
"162","Particpant131","English","item18","DP2","DP2",287.49788152
"163","Particpant131","English","item19","DP1","DP1",316.03963792
"164","Particpant131","English","item20","DP1","DP2",490.3312268
"165","Particpant131","English","item21","DP2","DP1",581.8490676
"166","Particpant131","English","item22","DP2","DP2",149.86814508
"167","Particpant131","English","item23","DP1","DP1",403.7877432
"168","Particpant131","English","item24","DP1","DP2",266.00591488
"169","Particpant132","English","item01","DP2","DP2",253.25522718
"170","Particpant132","English","item02","DP1","DP1",594.7323681
"171","Particpant132","English","item03","DP1","DP2",249.36914778
"172","Particpant132","English","item04","DP2","DP1",370.6358565
"173","Particpant132","English","item05","DP2","DP2",267.40903167
"174","Particpant132","English","item06","DP1","DP1",173.77627584
"175","Particpant132","English","item07","DP1","DP2",617.6636409
"176","Particpant132","English","item08","DP2","DP1",485.8651557
"177","Particpant132","English","item09","DP2","DP2",345.3836115
"178","Particpant132","English","item10","DP1","DP1",490.4466867
"179","Particpant132","English","item11","DP1","DP2",357.2785274
"180","Particpant132","English","item12","DP2","DP1",545.302602
"181","Particpant132","English","item13","DP2","DP2",313.8602868
"182","Particpant132","English","item14","DP1","DP1",261.74187528
"183","Particpant132","English","item15","DP1","DP2",170.45002383
"184","Particpant132","English","item16","DP2","DP1",303.5605512
"185","Particpant132","English","item17","DP2","DP2",404.0175192
"186","Particpant132","English","item18","DP1","DP1",256.1414212
"187","Particpant132","English","item19","DP1","DP2",429.213086
"188","Particpant132","English","item20","DP2","DP1",391.8491228
"189","Particpant132","English","item21","DP2","DP2",513.0455196
"190","Particpant132","English","item22","DP1","DP1",229.45199876
"191","Particpant132","English","item23","DP1","DP2",246.50379492
"192","Particpant132","English","item24","DP2","DP1",470.2118596
"193","Particpant134","English","item01","DP1","DP1",273.80602917
