subject,item,condition,prof,RT
subject01,item01,word,82.33581406,383.6191121
subject01,item02,nonword,82.33581406,640.0240723
subject01,item03,word,82.33581406,405.8388678
subject01,item04,nonword,82.33581406,620.54842
subject01,item05,word,82.33581406,505.5232067
subject01,item06,nonword,82.33581406,928.319369
subject01,item07,word,82.33581406,609.7341332
subject01,item08,nonword,82.33581406,589.3652931
subject01,item09,word,82.33581406,329.2481426
subject01,item10,nonword,82.33581406,693.138173
subject01,item11,word,82.33581406,879.9860678
subject01,item12,nonword,82.33581406,417.5953472
subject01,item13,word,82.33581406,531.7591609
subject01,item14,nonword,82.33581406,658.5509583
subject01,item15,word,82.33581406,502.2419397
subject01,item16,nonword,82.33581406,703.2807669
subject01,item17,word,82.33581406,779.6387848
subject01,item18,nonword,82.33581406,811.0316454
subject01,item19,word,82.33581406,355.6792527
subject01,item20,nonword,82.33581406,622.6715614
subject01,item21,word,82.33581406,842.4013479
subject01,item22,nonword,82.33581406,1053.48804
subject01,item23,word,82.33581406,253.5311159
subject01,item24,nonword,82.33581406,363.1903988
subject01,item25,word,82.33581406,694.4420209
subject01,item26,nonword,82.33581406,256.8574719
subject01,item27,word,82.33581406,706.6118501
subject01,item28,nonword,82.33581406,479.587792
subject01,item29,word,82.33581406,448.6284075
subject01,item30,nonword,82.33581406,463.1560304
subject01,item31,word,82.33581406,832.3643
subject01,item32,nonword,82.33581406,822.1608427
subject01,item33,word,82.33581406,245.5454328
subject01,item34,nonword,82.33581406,540.3727286
subject01,item35,word,82.33581406,538.2743242
subject01,item36,nonword,82.33581406,706.05248
subject01,item37,word,82.33581406,667.4604706
subject01,item38,nonword,82.33581406,554.4984269
subject01,item39,word,82.33581406,552.6248738
subject01,item40,nonword,82.33581406,1030.315406
subject02,item01,nonword,82.33581406,426.4012078
subject02,item02,word,82.33581406,1146.668954
subject02,item03,nonword,82.33581406,1250.217511
subject02,item04,word,82.33581406,538.0957648
subject02,item05,nonword,82.33581406,779.6427154
subject02,item06,word,82.33581406,411.3630282
subject02,item07,nonword,82.33581406,914.9116025
subject02,item08,word,82.33581406,269.2772832
subject02,item09,nonword,82.33581406,172.5070264
subject02,item10,word,82.33581406,842.673053
subject02,item11,nonword,82.33581406,771.9385765
subject02,item12,word,82.33581406,210.8677336
subject02,item13,nonword,82.33581406,1020.910972
subject02,item14,word,82.33581406,299.220705
subject02,item15,nonword,82.33581406,573.1660626
subject02,item16,word,82.33581406,611.7118394
subject02,item17,nonword,82.33581406,468.0545403
subject02,item18,word,82.33581406,419.3659857
subject02,item19,nonword,82.33581406,798.8290195
subject02,item20,word,82.33581406,257.4449655
